2026-02-15T20:34:57.074725,moveL,"0.500000,0.000000,0.600000,0.000000,3.141593,0.000000",success
2026-02-15T20:34:59.434880,moveL,"0.556262,0.315281,0.101036,0.000000,3.141593,0.000000",success
2026-02-15T20:35:00.431032,moveL,"0.556262,0.315281,0.001036,0.000000,3.141593,0.000000",success
2026-02-15T20:35:01.428026,moveL,"0.556262,0.315281,0.101036,0.000000,3.141593,0.000000",success
2026-02-15T20:35:03.695825,moveL,"0.400000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:04.692000,moveL,"0.400000,-0.200000,0.100000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:05.690519,moveL,"0.400000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:08.125100,moveL,"0.551398,0.412869,0.132308,0.000000,3.141593,0.000000",success
2026-02-15T20:35:09.119947,moveL,"0.551398,0.412869,0.032308,0.000000,3.141593,0.000000",success
2026-02-15T20:35:10.123052,moveL,"0.551398,0.412869,0.132308,0.000000,3.141593,0.000000",success
2026-02-15T20:35:12.568677,moveL,"0.510000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:13.566300,moveL,"0.510000,-0.200000,0.100000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:14.562746,moveL,"0.510000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:16.819247,moveL,"0.425407,0.334690,0.116050,0.000000,3.141593,0.000000",success
2026-02-15T20:35:17.811997,moveL,"0.425407,0.334690,0.016050,0.000000,3.141593,0.000000",success
2026-02-15T20:35:18.821482,moveL,"0.425407,0.334690,0.116050,0.000000,3.141593,0.000000",success
2026-02-15T20:35:20.855461,moveL,"0.400000,-0.090000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:21.847999,moveL,"0.400000,-0.090000,0.100000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:22.843962,moveL,"0.400000,-0.090000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:24.952299,moveL,"0.605560,0.323599,0.100335,0.000000,3.141593,0.000000",success
2026-02-15T20:35:25.946207,moveL,"0.605560,0.323599,0.000335,0.000000,3.141593,0.000000",success
2026-02-15T20:35:26.940007,moveL,"0.605560,0.323599,0.100335,0.000000,3.141593,0.000000",success
2026-02-15T20:35:28.968506,moveL,"0.510000,-0.090000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:29.961832,moveL,"0.510000,-0.090000,0.100000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:30.958486,moveL,"0.510000,-0.090000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:51.739020,moveL,"0.500000,0.000000,0.600000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:54.088026,moveL,"0.556262,0.315281,0.101036,0.000000,3.141593,0.000000",success
2026-02-15T20:35:55.083033,moveL,"0.556262,0.315281,0.001036,0.000000,3.141593,0.000000",success
2026-02-15T20:35:56.090798,moveL,"0.556262,0.315281,0.101036,0.000000,3.141593,0.000000",success
2026-02-15T20:35:58.356774,moveL,"0.400000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:35:59.347758,moveL,"0.400000,-0.200000,0.100000,0.000000,3.141593,0.000000",success
2026-02-15T20:36:00.336971,moveL,"0.400000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:36:02.777840,moveL,"0.551398,0.412869,0.132308,0.000000,3.141593,0.000000",success
2026-02-15T20:36:03.770786,moveL,"0.551398,0.412869,0.032308,0.000000,3.141593,0.000000",success
2026-02-15T20:36:04.760885,moveL,"0.551398,0.412869,0.132308,0.000000,3.141593,0.000000",success
2026-02-15T20:36:07.167339,moveL,"0.510000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:36:08.167481,moveL,"0.510000,-0.200000,0.100000,0.000000,3.141593,0.000000",success
2026-02-15T20:36:09.162289,moveL,"0.510000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:36:11.438897,moveL,"0.425407,0.334690,0.116050,0.000000,3.141593,0.000000",success
2026-02-15T20:36:12.431338,moveL,"0.425407,0.334690,0.016050,0.000000,3.141593,0.000000",success
2026-02-15T20:36:13.433607,moveL,"0.425407,0.334690,0.116050,0.000000,3.141593,0.000000",success
2026-02-15T20:36:15.451646,moveL,"0.400000,-0.090000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T20:36:16.444868,moveL,"0.400000,-0.090000,0.100000,0.000000,3.141593,0.000000",success
2026-02-15T20:36:17.438220,moveL,"0.400000,-0.090000,0.200000,0.000000,3.141593,0.000000",success
